Date_Incoming_call,Incoming_Call_Time,Month,WeekDay,DataWeekNum
01/01/2017,07:28:00,Jan,Sunday,1
02/01/2017,21:25:00,Jan,Monday,1
03/01/2017,07:10:00,Jan,Tuesday,1
03/01/2017,08:20:00,Jan,Tuesday,1
03/01/2017,12:14:00,Jan,Tuesday,1
03/01/2017,12:35:00,Jan,Tuesday,1
03/01/2017,15:50:00,Jan,Tuesday,1
04/01/2017,07:10:00,Jan,Wednesday,1
04/01/2017,07:57:00,Jan,Wednesday,1
04/01/2017,17:47:00,Jan,Wednesday,1
05/01/2017,05:40:00,Jan,Thursday,1
05/01/2017,06:50:00,Jan,Thursday,1
05/01/2017,07:45:00,Jan,Thursday,1
05/01/2017,11:00:00,Jan,Thursday,1
05/01/2017,13:00:00,Jan,Thursday,1
05/01/2017,16:55:00,Jan,Thursday,1
05/01/2017,19:06:00,Jan,Thursday,1
06/01/2017,05:35:00,Jan,Friday,1
06/01/2017,07:35:00,Jan,Friday,1
06/01/2017,13:15:00,Jan,Friday,1
06/01/2017,19:50:00,Jan,Friday,1
07/01/2017,19:25:00,Jan,Saturday,1
08/01/2017,13:30:00,Jan,Sunday,2
08/01/2017,14:24:00,Jan,Sunday,2
08/01/2017,15:45:00,Jan,Sunday,2
08/01/2017,19:00:00,Jan,Sunday,2
09/01/2017,08:00:00,Jan,Monday,2
09/01/2017,08:15:00,Jan,Monday,2
09/01/2017,14:00:00,Jan,Monday,2
09/01/2017,15:00:00,Jan,Monday,2
10/01/2017,02:32:00,Jan,Tuesday,2
10/01/2017,06:50:00,Jan,Tuesday,2
10/01/2017,09:25:00,Jan,Tuesday,2
10/01/2017,10:35:00,Jan,Tuesday,2
11/01/2017,10:55:00,Jan,Wednesday,2
11/01/2017,14:57:00,Jan,Wednesday,2
12/01/2017,07:00:00,Jan,Thursday,2
12/01/2017,08:45:00,Jan,Thursday,2
12/01/2017,11:15:00,Jan,Thursday,2
12/01/2017,13:00:00,Jan,Thursday,2
12/01/2017,17:00:00,Jan,Thursday,2
13/01/2017,05:40:00,Jan,Friday,2
13/01/2017,15:00:00,Jan,Friday,2
14/01/2017,08:00:00,Jan,Saturday,2
14/01/2017,11:00:00,Jan,Saturday,2
14/01/2017,13:00:00,Jan,Saturday,2
14/01/2017,23:10:00,Jan,Saturday,2
15/01/2017,07:00:00,Jan,Sunday,3
16/01/2017,09:10:00,Jan,Monday,3
16/01/2017,11:06:00,Jan,Monday,3
16/01/2017,22:00:00,Jan,Monday,3
17/01/2017,02:20:00,Jan,Tuesday,3
17/01/2017,06:18:00,Jan,Tuesday,3
17/01/2017,06:30:00,Jan,Tuesday,3
17/01/2017,17:50:00,Jan,Tuesday,3
18/01/2017,09:00:00,Jan,Wednesday,3
18/01/2017,12:00:00,Jan,Wednesday,3
18/01/2017,15:30:00,Jan,Wednesday,3
19/01/2017,15:10:00,Jan,Thursday,3
19/01/2017,18:19:00,Jan,Thursday,3
20/01/2017,05:41:00,Jan,Friday,3
20/01/2017,06:58:00,Jan,Friday,3
20/01/2017,10:30:00,Jan,Friday,3
20/01/2017,15:00:00,Jan,Friday,3
20/01/2017,15:30:00,Jan,Friday,3
20/01/2017,19:23:00,Jan,Friday,3
21/01/2017,08:00:00,Jan,Saturday,3
21/01/2017,13:50:00,Jan,Saturday,3
21/01/2017,19:20:00,Jan,Saturday,3
22/01/2017,21:25:00,Jan,Sunday,4
23/01/2017,08:35:00,Jan,Monday,4
23/01/2017,10:00:00,Jan,Monday,4
23/01/2017,10:00:00,Jan,Monday,4
23/01/2017,10:05:00,Jan,Monday,4
23/01/2017,10:30:00,Jan,Monday,4
23/01/2017,11:47:00,Jan,Monday,4
23/01/2017,16:31:00,Jan,Monday,4
23/01/2017,20:05:00,Jan,Monday,4
24/01/2017,06:00:00,Jan,Tuesday,4
24/01/2017,08:25:00,Jan,Tuesday,4
24/01/2017,15:00:00,Jan,Tuesday,4
24/01/2017,20:30:00,Jan,Tuesday,4
25/01/2017,12:00:00,Jan,Wednesday,4
25/01/2017,15:30:00,Jan,Wednesday,4
25/01/2017,16:00:00,Jan,Wednesday,4
26/01/2017,07:30:00,Jan,Thursday,4
26/01/2017,16:20:00,Jan,Thursday,4
27/01/2017,05:30:00,Jan,Friday,4
27/01/2017,12:40:00,Jan,Friday,4
28/01/2017,11:05:00,Jan,Saturday,4
28/01/2017,22:00:00,Jan,Saturday,4
30/01/2017,08:25:00,Jan,Monday,5
30/01/2017,13:15:00,Jan,Monday,5
30/01/2017,16:40:00,Jan,Monday,5
30/01/2017,17:20:00,Jan,Monday,5
31/01/2017,08:30:00,Jan,Tuesday,5
31/01/2017,14:30:00,Jan,Tuesday,5
31/01/2017,15:30:00,Jan,Tuesday,5
31/01/2017,15:45:00,Jan,Tuesday,5
01/02/2017,06:38:00,Feb,Wednesday,5
01/02/2017,10:00:00,Feb,Wednesday,5
01/02/2017,13:30:00,Feb,Wednesday,5
01/02/2017,13:30:00,Feb,Wednesday,5
01/02/2017,14:00:00,Feb,Wednesday,5
01/02/2017,17:00:00,Feb,Wednesday,5
01/02/2017,20:00:00,Feb,Wednesday,5
02/02/2017,05:35:00,Feb,Thursday,5
02/02/2017,10:00:00,Feb,Thursday,5
02/02/2017,11:00:00,Feb,Thursday,5
02/02/2017,14:00:00,Feb,Thursday,5
02/02/2017,16:15:00,Feb,Thursday,5
02/02/2017,17:55:00,Feb,Thursday,5
03/02/2017,05:40:00,Feb,Friday,5
05/02/2017,08:25:00,Feb,Sunday,6
06/02/2017,02:00:00,Feb,Monday,6
06/02/2017,06:55:00,Feb,Monday,6
06/02/2017,08:15:00,Feb,Monday,6
